"companyId","companyName","companyUrl","@context","@type","name","image","telephone","address.@type","address.streetAddress","address.addressLocality","address.addressRegion","address.postalCode","address.addressCountry","geo.@type","geo.latitude","geo.longitude","description","logo","sameAs","url"
"3990","Adcon International Inc.","https://www.usaustrians.com/austrian-companies-in-usa/3990/adcon-international-inc","http://schema.org","LocalBusiness","Adcon International Inc.","","951-652-6811","PostalAddress","3255 West Stetson Ave.","Hemet","CA","92545","US","GeoCoordinates","38.5624508","-121.7692362","ADCON Telemetry focuses on telemetry solutions, based on its own ultra low-power radio technology and GSM/GPRS/UMTS modems, both being integrated into our own range of loggers","https://www.usaustrians.com/assets/dynamic_image/bus_logo/bus_logo_3990.png",,"https://www.usaustrians.com/Austrian-enterprises-inUSA/3990/adcon-international-inc"
"3996","Agrana Fruit US, Inc.","https://www.usaustrians.com/austrian-companies-in-usa/3996/agrana-fruit-us-inc","http://schema.org","LocalBusiness","Agrana Fruit US, Inc.","","937-693-3821-81102","PostalAddress","16197 N, County Road, 25 A","Anna","OH","45302","US","GeoCoordinates","41.2854928","-81.6340639","AGRANA is committed to the development and supply of products which contribute to health nutrition, directing its resources not only to the dairy market but also the bakery, ice cream, confectionary, frozen desserts, fruit beverage and food service markets.","https://www.usaustrians.com/assets/dynamic_image/bus_logo/bus_logo_3996.png","[""https://www.facebook.com/agrana.us""]","https://www.usaustrians.com/Austrian-enterprises-inUSA/3996/agrana-fruit-us-inc"
"4001","Agru America, Inc.","https://www.usaustrians.com/austrian-companies-in-usa/4001/agru-america-inc","http://schema.org","LocalBusiness","Agru America, Inc.","","281-358-4741","PostalAddress","500 Garrison Rd","Georgetown","SC","29440-9688","US","GeoCoordinates","33.4089609","-79.3624904","Born of a robust pedigree of geosynthetic excellence, AGRU America, Inc. manufactures premium geomembrane liners backed by over 25 years of experience, innovation, quality, and service.sSince 1988, Georgetown, South Carolina-based AGRU America, Inc. has been the world's leading manufacturer of flat die extrusion geomembrane liners, geonets, geocomposites, and geotextiles. AGRU America also supplies geosynthetic clay liners, concrete protective liners, vertical barrier systems, and pipe and fitting systems for the U.S. and international civil/environmental markets.","https://www.usaustrians.com/assets/dynamic_image/bus_logo/bus_logo_4001.png","[""https://www.facebook.com/AGRUAmerica""]","https://www.usaustrians.com/Austrian-enterprises-inUSA/4001/agru-america-inc"
"6568","Alexander International Security Affiliates","https://www.usaustrians.com/austrian-companies-in-usa/6568/alexander-international-security-affiliates","http://schema.org","LocalBusiness","Alexander International Security Affiliates","","310 930 6335","PostalAddress","PO Box 2776","Big Bear City","CA","92314","US","GeoCoordinates","33.9530865","-118.3868577","ISA * International Security Affiliates is a multi-functional security company,with more then 30 years of exemplary service to our clientele. Affiliates world wide allows us to offer our services on a global range, from Investigations to low level of security to high profile personal protection, Our full range of services can be viewed atwww.isa-worldwide.com & www.SpartanConsultingGroup.com . We offer for a limited time, complementary threat assessment consultation. For immediate requirements, you can reach us at 310/930-6335.","https://www.usaustrians.com/assets/dynamic_image/bus_logo/bus_logo_6568.png","[""https://www.facebook.com/International-Security-Affiliates-286132781568894""]","https://www.usaustrians.com/Austrian-enterprises-inUSA/6568/alexander-international-security-affiliates"
"7138","Aline Stern Photography","https://www.usaustrians.com/austrian-companies-in-usa/7138/aline-stern-photography","http://schema.org","LocalBusiness","Aline Stern Photography","","312-806-2287","PostalAddress","3827 N. Paulina","Chicago","IL","60613","US","GeoCoordinates","41.9514540","-87.6710600",,"https://www.usaustrians.com/assets/dynamic_image/bus_logo/cae_logo_81_7138.jpg","[""https://www.facebook.com/alinesternphotography""]","https://www.usaustrians.com/Austrian-enterprises-inUSA/7138/aline-stern-photography"
"9352","Alluring View B&B","https://www.usaustrians.com/austrian-companies-in-usa/9352/alluring-view-bb","http://schema.org","LocalBusiness","Alluring View B&B","","828-733-2718","PostalAddress","7348 Joe Johnson Street","Jonas Ridge","NC","28641","US","GeoCoordinates","35.958097","-81.8997516","Welcome to Alluring View B&B and cabins, located on a flat mountain top at 4200-ft elevation in the Blue Ridge Mountains of North Carolina.  Our accommodations welcome guest to these majestic mountains from our location at the edge of Linville Gorge, about 3 miles from the scenic Blue Ridge Parkway, and 8 miles from Grandfather Mountain, in the area of Jonas Ridge.  On a clear day, this rustic log cabin bed and breakfast has 100 mile views! There is a long range mountain view out of EVERY window, and your delicious full breakfast is prepared by a professional chef. We strive to provide comfortable lodging at affordable rates.","https://www.usaustrians.com/assets/dynamic_image/bus_logo/bus_logo_9352.png",,"https://www.usaustrians.com/Austrian-enterprises-inUSA/9352/alluring-view-bb"
"4012","Alpla, Inc.","https://www.usaustrians.com/austrian-companies-in-usa/4012/alpla-inc","http://schema.org","LocalBusiness","Alpla, Inc.","","770-914-1407","PostalAddress","289 Hwy. 155 South","McDonough","GA","30253","US","GeoCoordinates","33.4218850","-84.1507290","ALPLA is a worldwide leading enterprise of the plastic processing.","https://www.usaustrians.com/assets/dynamic_image/bus_logo/bus_logo_4012.png","[""https://twitter.com/ALPLApackaging""]","https://www.usaustrians.com/Austrian-enterprises-inUSA/4012/alpla-inc"
"3662","Alt Washingtonia Schuhplattler Verein - Original Bavarian Dance Group of Washington, DC","https://www.usaustrians.com/austrian-companies-in-usa/3662/alt-washingtonia-schuhplattler-verein-original-bavarian-dance-group-of-washington-dc","http://schema.org","LocalBusiness","Alt Washingtonia Schuhplattler Verein - Original Bavarian Dance Group of Washington, DC","","202-232-5438","PostalAddress","1601 18th Street, NW, #307","Washington","DC","20009","","GeoCoordinates","38.9115250","-77.0413660","Alt Washingtonia Schuhplattler Verein 
Original Bavarian Dance Club of Washington, DCsServing as a link with the old homeland by preserving and sharing Alpine customs and traditions in the new world.s“Alt- Washingtonia“performs at all levels of interest and is flexible in presenting a colorful program, including historic dances based on typical Alpine occupations, such as the woodchoppers' dance.sTime-tested music, rich in sentiment, is rendered by talented musicians. Alphorns provide the unusual tones and tunes so characteristic of the mountainous area of Germany, Austria, and Switzerland.sYodelers present the melodies that recall old homeland experiences with unforgettable harmonies and richness.sAlong with the familiar accordion, less well-known folk instruments are played, from cowbell ringing to block flutes and the musical saw.sAUDIENCE PARTICIPATIONs“Alt- Washingtonia” leaders are internationally known experts in sharing the fun of guest involvement without embarrassing high jinks. Basic, lifetime-lasting dance steps are quickly taught. “Change-partner” dances with group members make it easier – everyone “learns by doing” and all have a good time.s
FUN WITH A PURPOSEsThe “Alt-Washingtonia” Schuhplatter Verein has been preserving authentic Bavarian schuhplattler dances, songs, customs, and costumes, for over seven decades. This group is ready to share its colorful folklore traditions to provide educational and cultural entertainment.s
FOR ALL SEASONSsSince the nineteen forties “Alt-Washingtonia” has been the resident dance group at Max Blob's Bavarian Biergarten in Jessup, Maryland, home of America's first Oktoberfest. They provide the “Gemutlichkeit” (warm spirit) for celebrations of Fasching, Maifest, Bockbierfest, Sonnwendfeier, and Weihnachten as well as Oktoberfest.s
CAPTURE THE SPIRITsThe group recreates the atmosphere of an old world Oktoberfest, but it's presentations are appropriate for any occasion when a rousing good time is called for. Yodeling, alphorn and dancing make up an outstanding show and audience participation is a special feature.sOld homeland schuhplattler (shoe-slapping) routines have been collected and made to live again. “Alt-Washingtonia” is a living museum of fun and folklore from the Alpine countries.
","https://www.usaustrians.com/assets/dynamic_image/bus_logo/cae_logo_81_3662.jpg",,"https://www.usaustrians.com/Institutes-Organizations-Austrians-in-USA/3662/alt-washingtonia-schuhplattler-verein-original-bavarian-dance-group-of-washington-dc"
"4016","AMAG USA Corporation","https://www.usaustrians.com/austrian-companies-in-usa/4016/amag-usa-corporation","http://schema.org","LocalBusiness","AMAG USA Corporation","","201-962-7105","PostalAddress","4101 Walnut Creek Ct.,","Fort Worth","TX","76137","US","GeoCoordinates","33.0395850","-97.0513750","AMAG is leading manufacturer of aluminium semis and casthouse products for the processing industry.","https://www.usaustrians.com/assets/dynamic_image/bus_logo/bus_logo_4016.jpg",,"https://www.usaustrians.com/Austrian-enterprises-inUSA/4016/amag-usa-corporation"
"4017","Amann Girrbach America Inc.","https://www.usaustrians.com/austrian-companies-in-usa/4017/amann-girrbach-america-inc","http://schema.org","LocalBusiness","Amann Girrbach America Inc.","","877-960-4393","PostalAddress","13900 S Lakes Dr, Ste D","Charlotte","NC","28273","US","GeoCoordinates","28.4950420","-82.5236330","AmannGirrbach corporation is one of the leading companies in dental and dental laboratory technology.","https://www.usaustrians.com/assets/dynamic_image/bus_logo/bus_logo_4017.jpg","[""https://www.facebook.com/pg/AmannGirrbachAmerica/about/?ref=page_internal"",""https://twitter.com/Amann_Girrbach"",""https://www.youtube.com/user/AmannGirrbachHQ""]","https://www.usaustrians.com/Austrian-enterprises-inUSA/4017/amann-girrbach-america-inc"
